A_Happy_Visitor.Beginner.txt
It/5/40/17/80/0
is/30/40/17/80/0
Thursday/55/40/107/80/0
It/173/40/17/80/0
is/198/40/17/80/0
raining/223/40/74/80/0
today/307/40/66/80/0
It/384/40/17/80/0
is/409/40/17/80/0
a/434/40/11/80/0
rainy/455/40/54/80/0
day/517/40/44/80/0
Anna/5/130/54/80/0
is/69/130/17/80/0
inside/94/130/63/80/0
the/166/130/34/80/0
house/209/130/71/80/0
Anna/291/130/54/80/0
is/355/130/17/80/0
watching/380/130/98/80/0
TV/488/130/35/80/0
Anna/534/130/54/80/0
is/598/130/17/80/0
watching/623/130/98/80/0
TV/731/130/30/80/0
inside/769/130/63/80/0
the/841/130/34/80/0
house/884/130/71/80/0
Anna/5/220/54/80/0
cannot/69/220/75/80/0
go/152/220/27/80/0
outside/188/220/85/80/0
It/284/220/17/80/0
is/309/220/17/80/0
raining/334/220/74/80/0
outside/418/220/85/80/0
Anna/514/220/54/80/0
cannot/578/220/75/80/0
go/661/220/27/80/0
outside/697/220/79/80/0
because/785/220/89/80/0
it/883/220/14/80/0
is/905/220/17/80/0
raining/930/220/74/80/0
outside/1014/220/85/80/0
Anna/5/310/54/80/0
is/69/310/17/80/0
bored/94/310/69/80/0
Wait/174/310/55/80/0
Anna/240/310/54/80/0
hears/304/310/60/80/0
someone/372/310/99/80/0
at/480/310/21/80/0
the/509/310/34/80/0
door/552/310/56/80/0
Someone/619/310/102/80/0
is/730/310/17/80/0
at/755/310/21/80/0
the/784/310/34/80/0
door/827/310/51/80/0
of/886/310/23/80/0
her/916/310/36/80/0
house/960/310/71/80/0
Anna/5/400/54/80/0
opens/69/400/66/80/0
the/143/400/34/80/0
door/186/400/56/80/0
What/253/400/58/80/0
does/319/400/52/80/0
Anna/379/400/54/80/0
see/443/400/48/80/0
Anna/500/400/54/80/0
sees/564/400/48/80/0
a/620/400/11/80/0
dog/641/400/47/80/0
The/699/400/41/80/0
dog/749/400/40/80/0
is/799/400/17/80/0
small/824/400/62/80/0
Anna/897/400/54/80/0
sees/961/400/48/80/0
a/1017/400/11/80/0
small/1038/400/55/80/0
dog/1103/400/47/80/0
The/5/490/41/80/0
dog/55/490/40/80/0
is/105/490/17/80/0
wet/130/490/45/80/0
The/186/490/41/80/0
dog/236/490/40/80/0
is/286/490/17/80/0
wet/311/490/40/80/0
from/359/490/50/80/0
the/419/490/34/80/0
rain/462/490/47/80/0
Awww/5/40/87/80/1
You/103/40/40/80/1
are/153/40/34/80/1
all/196/40/23/80/1
wet/229/40/56/80/1
Anna/295/40/54/80/1
says/359/40/47/80/1
to/414/40/21/80/1
the/444/40/34/80/1
dog/487/40/47/80/1
You/545/40/50/80/1
are/605/40/34/80/1
very/648/40/46/80/1
cute/702/40/63/80/1
Mom/5/130/80/80/1
Anna/95/130/54/80/1
says/159/130/52/80/1
Yes/222/130/54/80/1
dear/286/130/69/80/1
says/365/130/47/80/1
Anna's/420/130/72/80/1
mom/500/130/61/80/1
There/5/220/73/80/1
is/87/220/17/80/1
a/112/220/11/80/1
dog/133/220/40/80/1
here/183/220/54/80/1
There/248/220/63/80/1
is/320/220/17/80/1
a/345/220/11/80/1
dog/366/220/40/80/1
at/416/220/21/80/1
the/445/220/34/80/1
door/488/220/67/80/1
Anna/565/220/54/80/1
says/629/220/52/80/1
What/5/310/88/80/1
says/103/310/47/80/1
Anna's/158/310/72/80/1
mom/238/310/61/80/1
A/310/310/25/80/1
dog/343/310/62/80/1
Anna's/5/400/72/80/1
mom/85/400/54/80/1
comes/149/400/71/80/1
to/228/400/21/80/1
the/258/400/34/80/1
door/301/400/56/80/1
Anna's/368/400/72/80/1
mom/448/400/54/80/1
sees/512/400/48/80/1
the/568/400/34/80/1
wet/611/400/40/80/1
dog/659/400/47/80/1
The/717/400/41/80/1
wet/767/400/40/80/1
dog/815/400/40/80/1
looks/865/400/57/80/1
cute/930/400/52/80/1
Can/5/490/50/80/1
we/65/490/31/80/1
keep/105/490/51/80/1
it/165/490/34/80/1
asks/209/490/47/80/1
Anna/264/490/61/80/1
Yes/336/490/54/80/1
we/400/490/31/80/1
can/440/490/55/80/1
says/505/490/47/80/1
Anna's/560/490/72/80/1
mom/640/490/61/80/1
The/5/40/41/80/2
dog/55/40/40/80/2
is/105/40/17/80/2
happy/130/40/72/80/2
