x_gaze,y_gaze,validity_gaze,timestamp_us_gaze,unix_time_ms_gaze,left_pupil_diameter_millimeters,left_pupil_validity,right_pupil_diameter_millimeters,right_pupil_validity,left_eye_x_gaze,left_eye_y_gaze,left_eye_validity_gaze,right_eye_x_gaze,right_eye_y_gaze,right_eye_validity_gaze
nan,nan,invalid,20052194562,1629991238298,nan,0,nan,0,nan,nan,0,nan,nan,0
nan,nan,invalid,20052211217,1629991238326,nan,0,nan,0,nan,nan,0,nan,nan,0
nan,nan,invalid,20052242968,1629991238360,nan,0,nan,0,nan,nan,0,nan,nan,0
nan,nan,invalid,20052259622,1629991238391,nan,0,nan,0,nan,nan,0,nan,nan,0
nan,nan,invalid,20052293665,1629991238401,nan,0,nan,0,nan,nan,0,nan,nan,0
455.1480960845947,434.85288977622986,valid,20052310320,1629991238418,2.4917144775390625,1,nan,0,455.1480960845947,434.85288977622986,1,nan,nan,0
453.66305351257324,425.88576078414917,valid,20052326975,1629991238435,2.5399017333984375,1,nan,0,453.66305351257324,425.88576078414917,1,nan,nan,0
416.8166971206665,447.8529077768326,valid,20052343629,1629991238452,2.55072021484375,1,2.7332305908203125,1,446.1980438232422,422.47334718704224,1,387.4353504180908,473.2324683666229,1
417.5734806060791,451.0816168785095,valid,20052360284,1629991238469,2.5674896240234375,1,2.7489166259765625,1,448.41776847839355,424.062716960907,1,386.72919273376465,478.10051679611206,1
422.8438997268677,442.4054056406021,valid,20052376939,1629991238485,2.5872039794921875,1,2.7778472900390625,1,462.2249221801758,410.37356972694397,1,383.46287727355957,474.43724155426025,1
417.8227472305298,434.44396018981934,valid,20052393593,1629991238502,2.61077880859375,1,2.8058624267578125,1,453.2553291320801,403.74221563339233,1,382.3901653289795,465.14570474624634,1
410.6768989562988,432.4124765396118,valid,20052410248,1629991238518,2.687164306640625,1,2.820098876953125,1,437.2869300842285,402.90675044059753,1,384.06686782836914,461.9182026386261,1
413.81126403808594,433.75164449214935,valid,20052426903,1629991238536,2.707061767578125,1,2.8265380859375,1,447.02648162841797,403.2986533641815,1,380.5960464477539,464.2046356201172,1
420.81298828125,439.2497116327286,valid,20052443558,1629991238552,2.6531982421875,1,2.84759521484375,1,457.8108215332031,409.92202520370483,1,383.8151550292969,468.5773980617523,1
458.6115789413452,439.8891770839691,valid,20052460212,1629991238569,2.6769256591796875,1,2.8569183349609375,1,496.9533348083496,410.286762714386,1,420.2698230743408,469.49159145355225,1
574.1649341583252,427.929362654686,valid,20052476867,1629991238585,2.7099456787109375,1,2.8854827880859375,1,679.841194152832,385.7016456127167,1,468.48867416381836,470.1570796966553,1
818.4498023986816,367.5244116783142,valid,20052493522,1629991238602,2.7391204833984375,1,nan,0,818.4498023986816,367.5244116783142,1,nan,nan,0
822.4995803833008,369.2935913801193,valid,20052510176,1629991238618,2.78363037109375,1,2.9563446044921875,1,854.6388816833496,343.76362323760986,1,790.360279083252,394.8235595226288,1
825.4130458831787,365.579976439476,valid,20052526831,1629991238635,2.79034423828125,1,2.9860687255859375,1,853.2978630065918,329.44339513778687,1,797.5282287597656,401.71655774116516,1
823.434591293335,378.5229116678238,valid,20052543486,1629991238651,2.799530029296875,1,2.991485595703125,1,853.2270812988281,344.5382559299469,1,793.6421012878418,412.5075674057007,1
826.4031314849854,377.501939535141,valid,20052560140,1629991238668,2.80718994140625,1,2.991455078125,1,859.3691253662109,341.43988609313965,1,793.4371376037598,413.56399297714233,1
823.4770774841309,371.87689661979675,valid,20052576795,1629991238685,2.8194427490234375,1,3.0111236572265625,1,854.5685005187988,339.64619636535645,1,792.3856544494629,404.10759687423706,1
821.2424755096436,374.6579396724701,valid,20052593450,1629991238702,2.84173583984375,1,3.022247314453125,1,853.8268089294434,354.5667028427124,1,788.6581420898438,394.7491765022278,1
827.1760654449463,371.0185468196869,valid,20052610104,1629991238718,2.8542633056640625,1,3.0403594970703125,1,858.8812065124512,349.76386427879333,1,795.4709243774414,392.27322936058044,1
829.8194789886475,373.9994841814041,valid,20052626759,1629991238735,2.866790771484375,1,3.0649566650390625,1,859.1115188598633,348.2494568824768,1,800.5274391174316,399.7495114803314,1
832.2975540161133,377.8268140554428,valid,20052643414,1629991238751,2.89056396484375,1,3.082000732421875,1,861.1578369140625,348.7574887275696,1,803.4372711181641,406.89613938331604,1
852.1414661407471,380.56052684783936,valid,20052660068,1629991238769,2.8927001953125,1,3.0850982666015625,1,881.8016624450684,349.4851613044739,1,822.4812698364258,411.63589239120483,1
871.9941902160645,390.9277045726776,valid,20052676723,1629991238784,2.8905029296875,1,3.0927581787109375,1,901.9931030273438,357.9035747051239,1,841.9952774047852,423.9518344402313,1
869.2524719238281,388.94723653793335,valid,20052693378,1629991238802,2.89111328125,1,3.0981292724609375,1,899.6834564208984,350.1376140117645,1,838.8214874267578,427.7568590641022,1
869.2889785766602,390.5433654785156,valid,20052710033,1629991238818,2.898590087890625,1,3.105255126953125,1,893.5146903991699,348.19287300109863,1,845.0632667541504,432.8938579559326,1
866.3686752319336,396.0853511095047,valid,20052726687,1629991238835,2.910552978515625,1,3.1094818115234375,1,890.2517509460449,364.7809302806854,1,842.4855995178223,427.389771938324,1
867.9738235473633,389.13985669612885,valid,20052743342,1629991238852,2.9158782958984375,1,3.1141357421875,1,891.6144561767578,364.7372531890869,1,844.3331909179688,413.5424602031708,1
870.5379295349121,386.5237534046173,valid,20052759997,1629991238869,2.9135589599609375,1,3.1094818115234375,1,894.0432929992676,362.4147069454193,1,847.0325660705566,410.6327998638153,1
