BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
2782560;4799;169;k;;crystal;k R I s t V l;;;;;;;
2787360;1439;169;R;;crystal;k R I s t V l;;;;;;;
2788800;1439;169;I;;crystal;k R I s t V l;;;;;;;
2790240;2879;169;s;;crystal;k R I s t V l;;;;;;;
2793120;1919;169;t;;crystal;k R I s t V l;;;;;;;
2795040;1919;169;V;;crystal;k R I s t V l;;;;;;;
2796960;3359;169;l;;crystal;k R I s t V l;;;;;;;
2800320;27359;-1;<p:>;;;;;;;;;;
2827680;1439;170;T;;That’s;T { t s;;;;;;;
2829120;3359;170;{;;That’s;T { t s;;;;;;;
2832480;1439;170;t;;That’s;T { t s;;;;;;;
2833920;4799;170;s;;That’s;T { t s;;;;;;;
2838720;2399;171;R;;right;R aI t;;;;;;;
2841120;3839;171;aI;;right;R aI t;;;;;;;
2844960;1439;171;t;;right;R aI t;;;;;;;
2846400;2879;172;d;;detective;d I t E k t I v;;;;;;;
2849280;1439;172;I;;detective;d I t E k t I v;;;;;;;
2850720;1439;172;t;;detective;d I t E k t I v;;;;;;;
2852160;4799;172;E;;detective;d I t E k t I v;;;;;;;
2856960;1919;172;k;;detective;d I t E k t I v;;;;;;;
2858880;2399;172;t;;detective;d I t E k t I v;;;;;;;
2861280;2879;172;I;;detective;d I t E k t I v;;;;;;;
2864160;1919;172;v;;detective;d I t E k t I v;;;;;;;
2866080;19679;-1;<p:>;;;;;;;;;;
2885760;2399;173;h;;He;h i:;;;;;;;
2888160;2399;173;i:;;He;h i:;;;;;;;
2890560;2879;174;t;;took;t U k;;;;;;;
2893440;2879;174;U;;took;t U k;;;;;;;
2896320;3359;174;k;;took;t U k;;;;;;;
2899680;4319;175;@U;;only;@U n l i:;;;;;;;
2904000;1439;175;n;;only;@U n l i:;;;;;;;
2905440;1439;175;l;;only;@U n l i:;;;;;;;
2906880;1919;175;i:;;only;@U n l i:;;;;;;;
2908800;3839;176;w;;what;w V t;;;;;;;
2912640;2399;176;V;;what;w V t;;;;;;;
2915040;2879;176;t;;what;w V t;;;;;;;
2917920;1439;177;w;;was;w Q z;;;;;;;
2919360;1919;177;Q;;was;w Q z;;;;;;;
2921280;2399;177;z;;was;w Q z;;;;;;;
2923680;1439;178;I;;important;I m p O: R t V n t;;;;;;;
2925120;2879;178;m;;important;I m p O: R t V n t;;;;;;;
2928000;3839;178;p;;important;I m p O: R t V n t;;;;;;;
2931840;3839;178;O:;;important;I m p O: R t V n t;;;;;;;
2935680;1439;178;R;;important;I m p O: R t V n t;;;;;;;
2937120;1439;178;t;;important;I m p O: R t V n t;;;;;;;
2938560;1439;178;V;;important;I m p O: R t V n t;;;;;;;
2940000;1919;178;n;;important;I m p O: R t V n t;;;;;;;
2941920;1439;179;t;;to;t u:;;;;;;;
2943360;1919;179;u:;;to;t u:;;;;;;;
2945280;3359;180;m;;me;m i:;;;;;;;
2948640;4319;180;i:;;me;m i:;;;;;;;
2952960;9119;-1;<p:>;;;;;;;;;;
2962080;2399;181;m;;Ms;m s;;;;;;;
2964480;2399;181;s;;Ms;m s;;;;;;;
2966880;1919;182;g;;Gervis;g 3` v I s;;;;;;;
2968800;4799;182;3`;;Gervis;g 3` v I s;;;;;;;
2973600;2399;182;v;;Gervis;g 3` v I s;;;;;;;
2976000;1439;182;I;;Gervis;g 3` v I s;;;;;;;
2977440;2399;182;s;;Gervis;g 3` v I s;;;;;;;
2979840;3359;183;s;;says;s E z;;;;;;;
2983200;2879;183;E;;says;s E z;;;;;;;
2986080;3359;183;z;;says;s E z;;;;;;;
2989440;1439;184;w;;with;w I D;;;;;;;
2990880;1439;184;I;;with;w I D;;;;;;;
2992320;1919;184;D;;with;w I D;;;;;;;
2994240;1439;185;V;;a;V;;;;;;;
2995680;9599;186;s;;sigh;s aI;;;;;;;
3005280;6719;186;aI;;sigh;s aI;;;;;;;
3012000;1439;187;D;;There;D E R;;;;;;;
3013440;1439;187;E;;There;D E R;;;;;;;
3014880;1439;187;R;;There;D E R;;;;;;;
3016320;33119;-1;<p:>;;;;;;;;;;
3049440;3839;188;I;;is;I z;;;;;;;
3053280;2399;188;z;;is;I z;;;;;;;
3055680;7199;189;@U;;only;@U n l i:;;;;;;;
3062880;1439;189;n;;only;@U n l i:;;;;;;;
3064320;1439;189;l;;only;@U n l i:;;;;;;;
3065760;1919;189;i:;;only;@U n l i:;;;;;;;
3067680;6239;190;w;;one;w V n;;;;;;;
3073920;2399;190;V;;one;w V n;;;;;;;
3076320;5519;190;n;;one;w V n;;;;;;;
3081840;3119;191;T;;thing;T I N;;;;;;;
3084960;2399;191;I;;thing;T I N;;;;;;;
3087360;5279;191;N;;thing;T I N;;;;;;;
3092640;3839;192;aI;;I;aI;;;;;;;
3096480;2879;193;k;;can;k { n;;;;;;;
3099360;1439;193;{;;can;k { n;;;;;;;
3100800;1439;193;n;;can;k { n;;;;;;;
3102240;1439;194;d;;do;d u:;;;;;;;
3103680;4799;194;u:;;do;d u:;;;;;;;
3108480;2399;195;n;;now;n aU;;;;;;;
3110880;4319;195;aU;;now;n aU;;;;;;;
3115200;1439;196;V;;And;V n d;;;;;;;
3116640;6719;196;n;;And;V n d;;;;;;;
3123360;1439;196;d;;And;V n d;;;;;;;
3124800;14399;-1;<p:>;;;;;;;;;;
3139200;5759;197;w;;what;w V t;;;;;;;
3144960;1439;197;V;;what;w V t;;;;;;;
3146400;1439;197;t;;what;w V t;;;;;;;
3147840;3839;198;I;;is;I z;;;;;;;
3151680;2879;198;z;;is;I z;;;;;;;
3154560;1439;199;D;;that;D { t;;;;;;;
3156000;5279;199;{;;that;D { t;;;;;;;
3161280;1439;199;t;;that;D { t;;;;;;;
3162720;1439;200;D;;the;D V;;;;;;;
3164160;1439;200;V;;the;D V;;;;;;;
3165600;19679;-1;<p:>;;;;;;;;;;
3185280;1439;201;d;;detective;d I t E k t I v;;;;;;;
3186720;1439;201;I;;detective;d I t E k t I v;;;;;;;
3188160;2879;201;t;;detective;d I t E k t I v;;;;;;;
3191040;3839;201;E;;detective;d I t E k t I v;;;;;;;
3194880;2879;201;k;;detective;d I t E k t I v;;;;;;;
3197760;2399;201;t;;detective;d I t E k t I v;;;;;;;
3200160;1439;201;I;;detective;d I t E k t I v;;;;;;;
3201600;1919;201;v;;detective;d I t E k t I v;;;;;;;
3203520;3839;202;{;;asks;{ s k s;;;;;;;
3207360;2399;202;s;;asks;{ s k s;;;;;;;
3209760;1439;202;k;;asks;{ s k s;;;;;;;
3211200;1439;203;w;;with;w I D;;;;;;;
3212640;1439;203;I;;with;w I D;;;;;;;
3214080;1439;203;D;;with;w I D;;;;;;;
3215520;6239;204;s;;surprise;s 3` p R aI z;;;;;;;
3221760;2399;204;3`;;surprise;s 3` p R aI z;;;;;;;
3224160;6239;204;p;;surprise;s 3` p R aI z;;;;;;;
3230400;4319;204;R;;surprise;s 3` p R aI z;;;;;;;
3234720;7199;204;aI;;surprise;s 3` p R aI z;;;;;;;
3241920;4799;204;z;;surprise;s 3` p R aI z;;;;;;;
3246720;32639;-1;<p:>;;;;;;;;;;
3279360;5279;205;aI;;I;aI;;;;;;;
3284640;1439;206;w;;will;w I l;;;;;;;
3286080;1439;206;I;;will;w I l;;;;;;;
3287520;2399;206;l;;will;w I l;;;;;;;
3289920;5279;207;s;;stop;s t Q p;;;;;;;
3295200;3359;207;t;;stop;s t Q p;;;;;;;
3298560;4799;207;Q;;stop;s t Q p;;;;;;;
3303360;1439;207;p;;stop;s t Q p;;;;;;;
3304800;4799;208;b;;baking;b eI k I N;;;;;;;
3309600;5279;208;eI;;baking;b eI k I N;;;;;;;
3314880;4799;208;k;;baking;b eI k I N;;;;;;;
3319680;1439;208;I;;baking;b eI k I N;;;;;;;
3321120;2879;208;N;;baking;b eI k I N;;;;;;;
3324000;3839;209;k;;cakes;k eI k s;;;;;;;
3327840;5279;209;eI;;cakes;k eI k s;;;;;;;
3333120;4319;209;k;;cakes;k eI k s;;;;;;;
3337440;7199;209;s;;cakes;k eI k s;;;;;;;
3344640;23519;-1;<p:>;;;;;;;;;;
3368160;3359;210;m;;Ms;m s;;;;;;;
3371520;4319;210;s;;Ms;m s;;;;;;;
3375840;1919;211;g;;Gervis;g 3` v I s;;;;;;;
3377760;3839;211;3`;;Gervis;g 3` v I s;;;;;;;
3381600;3359;211;v;;Gervis;g 3` v I s;;;;;;;
3384960;1919;211;I;;Gervis;g 3` v I s;;;;;;;
3386880;4319;211;s;;Gervis;g 3` v I s;;;;;;;
3391200;2879;212;s;;says;s E z;;;;;;;
3394080;5759;212;E;;says;s E z;;;;;;;
3399840;4799;212;z;;says;s E z;;;;;;;
3404640;23039;-1;<p:>;;;;;;;;;;
3427680;1919;213;D;;They;D eI;;;;;;;
3429600;4799;213;eI;;They;D eI;;;;;;;
3434400;1919;214;6;;are;Q R;;;;;;;
3436320;3839;215;m;;mine;m aI n;;;;;;;
3440160;6719;215;aI;;mine;m aI n;;;;;;;
3446880;3359;215;n;;mine;m aI n;;;;;;;
3450240;2879;216;t;;to;t u:;;;;;;;
3453120;1439;216;I;;to;t u:;;;;;;;
3454560;5759;217;g;;give;g I v;;;;;;;
3460320;1439;217;I;;give;g I v;;;;;;;
3461760;1439;217;v;;give;g I v;;;;;;;
3463200;1439;218;V;;away;V w eI;;;;;;;
3464640;6239;218;w;;away;V w eI;;;;;;;
3470880;7199;218;eI;;away;V w eI;;;;;;;
3478080;10559;-1;<p:>;;;;;;;;;;
3488640;1919;219;D;;They;D eI;;;;;;;
3490560;2399;219;eI;;They;D eI;;;;;;;
3492960;1439;220;Q;;are;Q R;;;;;;;
3494400;1439;220;R;;are;Q R;;;;;;;
3495840;3839;221;n;;not;n Q t;;;;;;;
3499680;3359;221;Q;;not;n Q t;;;;;;;
3503040;8159;221;t;;not;n Q t;;;;;;;
3511200;1919;222;f;;for;f O: R;;;;;;;
3513120;2879;222;6;;for;f O: R;;;;;;;
3516000;5279;223;s;;someone;s V m w V n;;;;;;;
3521280;1919;223;V;;someone;s V m w V n;;;;;;;
3523200;1919;223;m;;someone;s V m w V n;;;;;;;
3525120;2399;223;w;;someone;s V m w V n;;;;;;;
3527520;1919;223;V;;someone;s V m w V n;;;;;;;
3529440;1439;223;n;;someone;s V m w V n;;;;;;;
3530880;3359;224;t;;to;t u:;;;;;;;
3534240;1919;224;u:;;to;t u:;;;;;;;
3536160;5279;225;s;;steal;s t i: l;;;;;;;
3541440;2879;225;t;;steal;s t i: l;;;;;;;
3544320;5759;225;i:;;steal;s t i: l;;;;;;;
3550080;1439;225;l;;steal;s t i: l;;;;;;;
3551520;36479;-1;<p:>;;;;;;;;;;
3588000;2879;226;u;;You;j u:;;;;;;;
3590880;4799;227;k;;can’t;k { n t;;;;;;;
3595680;4799;227;{;;can’t;k { n t;;;;;;;
3600480;3839;227;n;;can’t;k { n t;;;;;;;
3604320;1439;227;t;;can’t;k { n t;;;;;;;
3605760;1439;228;d;;do;d u:;;;;;;;
3607200;5759;228;u:;;do;d u:;;;;;;;
3612960;2399;229;D;;that;D { t;;;;;;;
3615360;6719;229;{;;that;D { t;;;;;;;
3622080;3359;229;t;;that;D { t;;;;;;;
3625440;1439;230;s;;says;s E z;;;;;;;
3626880;1439;230;E;;says;s E z;;;;;;;
3628320;6239;230;z;;says;s E z;;;;;;;
3634560;1439;231;D;;the;D V;;;;;;;
3636000;1439;231;V;;the;D V;;;;;;;
3637440;2399;232;d;;detective;d I t E k t I v;;;;;;;
3639840;2399;232;I;;detective;d I t E k t I v;;;;;;;
3642240;2879;232;t;;detective;d I t E k t I v;;;;;;;
3645120;2879;232;E;;detective;d I t E k t I v;;;;;;;
3648000;2399;232;k;;detective;d I t E k t I v;;;;;;;
3650400;1919;232;t;;detective;d I t E k t I v;;;;;;;
3652320;1439;232;I;;detective;d I t E k t I v;;;;;;;
3653760;2399;232;v;;detective;d I t E k t I v;;;;;;;
3656160;2879;-1;<p:>;;;;;;;;;;
3659040;1439;233;w;;with;w I D;;;;;;;
3660480;1439;233;I;;with;w I D;;;;;;;
3661920;1919;233;D;;with;w I D;;;;;;;
3663840;1439;234;V;;alarm;V l Q R m;;;;;;;
3665280;6719;234;l;;alarm;V l Q R m;;;;;;;
3672000;6239;234;Q;;alarm;V l Q R m;;;;;;;
3678240;1919;234;R;;alarm;V l Q R m;;;;;;;
3680160;2399;234;m;;alarm;V l Q R m;;;;;;;
3682560;28799;-1;<p:>;;;;;;;;;;
3711360;3359;235;h;;Who;h u:;;;;;;;
3714720;2399;235;u:;;Who;h u:;;;;;;;
3717120;3839;236;w;;will;w I l;;;;;;;
3720960;2879;236;I;;will;w I l;;;;;;;
3723840;1439;236;l;;will;w I l;;;;;;;
3725280;1919;237;b;;bake;b eI k;;;;;;;
3727200;5759;237;eI;;bake;b eI k;;;;;;;
3732960;1919;237;k;;bake;b eI k;;;;;;;
3734880;3839;238;D;;those;D @U z;;;;;;;
3738720;5279;238;@U;;those;D @U z;;;;;;;
3744000;5759;238;z;;those;D @U z;;;;;;;
3749760;2399;239;d;;delicious;d I l I S V s;;;;;;;
3752160;1919;239;I;;delicious;d I l I S V s;;;;;;;
3754080;2879;239;l;;delicious;d I l I S V s;;;;;;;
3756960;3359;239;I;;delicious;d I l I S V s;;;;;;;
3760320;3839;239;S;;delicious;d I l I S V s;;;;;;;
3764160;2399;239;V;;delicious;d I l I S V s;;;;;;;
3766560;3839;239;s;;delicious;d I l I S V s;;;;;;;
3770400;4319;240;k;;cakes;k eI k s;;;;;;;
3774720;6239;240;eI;;cakes;k eI k s;;;;;;;
3780960;4319;240;k;;cakes;k eI k s;;;;;;;
3785280;3839;240;s;;cakes;k eI k s;;;;;;;
3789120;34559;-1;<p:>;;;;;;;;;;
3823680;1919;241;aI;;I;aI;;;;;;;
3825600;1439;242;{;;am;{ m;;;;;;;
3827040;2879;242;m;;am;{ m;;;;;;;
3829920;6719;243;s;;sorry;s Q R i:;;;;;;;
3836640;3359;243;Q;;sorry;s Q R i:;;;;;;;
3840000;2879;243;R;;sorry;s Q R i:;;;;;;;
3842880;3359;243;i:;;sorry;s Q R i:;;;;;;;
3846240;7679;-1;<p:>;;;;;;;;;;
3853920;2399;244;aI;;I;aI;;;;;;;
3856320;1439;245;d;;do;d u:;;;;;;;
3857760;3839;245;u:;;do;d u:;;;;;;;
3861600;1439;246;n;;not;n Q t;;;;;;;
3863040;1439;246;Q;;not;n Q t;;;;;;;
3864480;1439;246;t;;not;n Q t;;;;;;;
3865920;4799;247;n;;know;n @U;;;;;;;
3870720;10079;247;@U;;know;n @U;;;;;;;
3880800;11519;-1;<p:>;;;;;;;;;;
3892320;4799;248;s;;says;s E z;;;;;;;
3897120;4799;248;E;;says;s E z;;;;;;;
3901920;2879;248;z;;says;s E z;;;;;;;
3904800;3839;249;m;;Ms;m s;;;;;;;
3908640;4799;249;s;;Ms;m s;;;;;;;
3913440;4799;-1;<p:>;;;;;;;;;;
3918240;1439;250;g;;Gervis;g 3` v I s;;;;;;;
3919680;7679;250;3`;;Gervis;g 3` v I s;;;;;;;
3927360;1439;250;v;;Gervis;g 3` v I s;;;;;;;
3928800;2399;250;I;;Gervis;g 3` v I s;;;;;;;
3931200;4799;250;s;;Gervis;g 3` v I s;;;;;;;
3936000;32639;-1;<p:>;;;;;;;;;;
3968640;3839;251;aI;;I;aI;;;;;;;
3972480;1919;252;m;;must;m V s t;;;;;;;
3974400;3359;252;V;;must;m V s t;;;;;;;
3977760;3839;252;s;;must;m V s t;;;;;;;
3981600;2399;252;t;;must;m V s t;;;;;;;
3984000;3359;253;s;;solve;s Q l v;;;;;;;
3987360;1919;253;Q;;solve;s Q l v;;;;;;;
3989280;9119;253;l;;solve;s Q l v;;;;;;;
3998400;1439;253;v;;solve;s Q l v;;;;;;;
3999840;1919;254;D;;this;D I s;;;;;;;
4001760;2879;254;I;;this;D I s;;;;;;;
4004640;4799;254;s;;this;D I s;;;;;;;
4009440;3839;255;k;;case;k eI s;;;;;;;
4013280;5759;255;eI;;case;k eI s;;;;;;;
4019040;4799;255;s;;case;k eI s;;;;;;;
4023840;1439;256;I;;immediately;I m i: d i: V t l i:;;;;;;;
4025280;3359;256;m;;immediately;I m i: d i: V t l i:;;;;;;;
4028640;2399;256;i:;;immediately;I m i: d i: V t l i:;;;;;;;
4031040;1919;256;d;;immediately;I m i: d i: V t l i:;;;;;;;
4032960;1919;256;i:;;immediately;I m i: d i: V t l i:;;;;;;;
4034880;1439;256;V;;immediately;I m i: d i: V t l i:;;;;;;;
4036320;4319;256;t;;immediately;I m i: d i: V t l i:;;;;;;;
4040640;1919;256;l;;immediately;I m i: d i: V t l i:;;;;;;;
4042560;2399;256;i:;;immediately;I m i: d i: V t l i:;;;;;;;
4044960;17279;-1;<p:>;;;;;;;;;;
4062240;7199;257;s;;says;s E z;;;;;;;
4069440;4319;257;E;;says;s E z;;;;;;;
4073760;2399;257;z;;says;s E z;;;;;;;
4076160;1439;258;D;;the;D V;;;;;;;
4077600;1439;258;V;;the;D V;;;;;;;
4079040;2399;-1;<p:>;;;;;;;;;;
4081440;2879;259;d;;detective;d I t E k t I v;;;;;;;
4084320;3839;259;I;;detective;d I t E k t I v;;;;;;;
4088160;2399;259;t;;detective;d I t E k t I v;;;;;;;
4090560;1439;259;E;;detective;d I t E k t I v;;;;;;;
4092000;1439;259;k;;detective;d I t E k t I v;;;;;;;
4093440;1439;259;t;;detective;d I t E k t I v;;;;;;;
4094880;1439;259;I;;detective;d I t E k t I v;;;;;;;
4096320;1439;259;v;;detective;d I t E k t I v;;;;;;;
4097760;31007;-1;<p:>;;;;;;;;;;
